Participant_ID,Dates,Calories
p02,2020-06-11,733.5271224572248
p02,2020-06-12,41.89619454042588
p02,2020-06-13,-28.49551227176073
p02,2020-06-14,250.19650930377463
p02,2020-06-15,451.65041492879243
p02,2020-06-16,285.7090246772304
p02,2020-06-17,490.75777082462025
p02,2020-06-18,674.2049184883979
p02,2020-06-19,-17.426009428698592
p02,2020-06-20,-87.81771624118971
p02,2020-06-21,190.87430533587522
p02,2020-06-22,392.328210960413
p02,2020-06-23,226.3868207092695
p02,2020-06-24,431.43556685657745
p02,2020-06-25,614.8827145207574
p02,2020-06-26,-76.74821339782318
p02,2020-06-27,-147.1399202097562
p02,2020-06-28,131.55210136719188
p02,2020-06-29,333.0060069915009
p02,2020-06-30,167.064616740172
p02,2020-07-01,372.11336288660385
p02,2020-07-02,555.5605105519305
p02,2020-07-03,-136.07041736686858
p02,2020-07-04,-206.4621241783223
p02,2020-07-05,72.2298973985084
p02,2020-07-06,273.68380302318025
p02,2020-07-07,107.742412771643
p02,2020-07-08,312.7911589180698
p02,2020-07-09,496.2383065827873
p02,2020-07-10,-195.39262133607224
p02,2020-07-11,-265.78432814671515
p02,2020-07-12,12.907693430608973
p02,2020-07-13,214.36159905426825
p02,2020-07-14,48.420208803113766
p02,2020-07-15,253.46895494953603
p02,2020-07-16,436.916102613644
p02,2020-07-17,-254.7148253027877
p02,2020-07-18,-325.1065321161444
p02,2020-07-19,-46.41451053807439
p02,2020-07-20,155.03939508588866
p02,2020-07-21,-10.901995165415347
p02,2020-07-22,194.14675098005335
p02,2020-07-23,377.59389864513383
p02,2020-07-24,-314.0370292719123
p02,2020-07-25,-384.42873608471035
p02,2020-07-26,-105.73671450636574
p02,2020-07-27,95.71719111644362
p02,2020-07-28,-70.22419913465016
p02,2020-07-29,134.82454701102867
p02,2020-07-30,318.27169467599015
p02,2020-07-31,-373.3592332410369
p02,2020-08-01,-443.7509400532769
p02,2020-08-02,-165.05891847671688
p02,2020-08-03,36.39498714806433
p02,2020-08-04,-129.5464031031793
p02,2020-08-05,75.50234304298588
p02,2020-08-06,258.94949070716376
p02,2020-08-07,-432.68143721016145
p02,2020-08-08,-503.0731440216698
p02,2020-08-09,-224.3811224446163
p02,2020-08-10,-22.92721682031498
p02,2020-08-11,-188.86860707170868
p02,2020-08-12,16.180139074452143
p02,2020-08-13,199.62728673952284
p02,2020-08-14,-492.00364117687684
p02,2020-08-15,-562.3953479904095
p02,2020-08-16,-283.70332641329964
p02,2020-08-17,-82.24942078976
